POS_tagged_sentence,Logical_expression,Natural_sentence,Manchester_syntax
engine/NN are/VBP complex/JJ energy/NN production/NN system/NN that/DT are/VBP part/NN of/IN a/DT motorcycle/NN ./. <EOS>/<EOS>,engine := complex energy production system ^ E part of . ( motorcycle ) <EOS>,engine are complex energy production system that are part of a motorcycle.,engine EquivalentTo complex energy production system and some part of motorcycle
all/DT engine/NN are/VBP also/DT complex/JJ energy/NN production/NN system/NN that/DT are/VBP part/NN of/IN a/DT motorcycle/NN ./. <EOS>/<EOS>,engine := complex energy production system ^ E part of . ( motorcycle ) <EOS>,all engine are also complex energy production system that are part of a motorcycle.,engine EquivalentTo complex energy production system and some part of motorcycle
saddle/NN are/VBP part/NN of/IN the/DT motorcycle/NN ./. <EOS>/<EOS>,saddle := E part of . ( motorcycle ) <EOS>,saddle are part of the motorcycle.,saddle EquivalentTo some part of motorcycle
frame/NN are/VBP part/NN of/IN motorcycle/NN ./. <EOS>/<EOS>,frame := E part of . ( motorcycle ) <EOS>,frame are part of motorcycle.,frame EquivalentTo some part of motorcycle
handle/NN bar/NN are/VBP part/NN of/IN the/DT bycicle/NN ./. <EOS>/<EOS>,handle bar := E part of . ( bycicle ) <EOS>,handle bar are part of the bycicle.,handle bar EquivalentTo some part of bycicle
all/DT engine/NN are/VBP also/RB energy/NN production/NN system/NN ./. <EOS>/<EOS>,engine := energy production system <EOS>,all engine are also energy production system.,engine EquivalentTo energy production system
engine/NN are/VBP also/RB energy/NN production/NN system/NN ./. <EOS>/<EOS>,engine := energy production system <EOS>,engine are also energy production system.,engine EquivalentTo energy production system
a/DT engine/NN is/VBZ a/DT complex/JJ system/NN that/WDT produce/VB energy/NN ./. <EOS>/<EOS>,engine := complex system ^ E produce . ( energy ) <EOS>,a engine is a complex system that produce energy.,engine EquivalentTo complex system and some produce energy
engine/NN are/VBP also/RB complex/JJ system/NN that/WDT produce/VB energy/NN ./. <EOS>/<EOS>,engine := complex system ^ E produce . ( energy ) <EOS>,engine are also complex system that produce energy.,engine EquivalentTo complex system and some produce energy
every/DT hammer/NN is/VBZ also/RB a/DT tool/NN ./. <EOS>/<EOS>,hammer := tool <EOS>,every hammer is also a tool.,hammer EquivalentTo tool
a/DT screwdriver/NN is/VBZ also/RB a/DT tool/NN that/WDT handle/NN screw/NN ./. <EOS>/<EOS>,screwdriver := tool ^ E handle . ( screw ) <EOS>,a screwdriver is also a tool that handle screw.,screwdriver EquivalentTo tool and some handle screw
screwdriver/NN are/VBP also/RB tool/NN that/WDT handle/NN screw/NN ./. <EOS>/<EOS>,screwdriver := tool ^ E handle . ( screw ) <EOS>,screwdriver are also tool that handle screw.,screwdriver EquivalentTo tool and some handle screw
all/DT flat/JJ blade/NN screwdriver/NN are/VBP screwdriver/NN that/DT have/VB flat/JJ blade/NN ./. <EOS>/<EOS>,flat blade screwdriver := screwdriver ^ E have flat blade . ( T ) <EOS>,all flat blade screwdriver are screwdriver that have flat blade.,flat blade screwdriver EquivalentTo screwdriver and some have flat blade
a/DT flat/JJ blade/NN screwdriver/NN is/VBZ a/DT screwdriver/NN that/DT have/VB a/DT flat/JJ blade/NN ./. <EOS>/<EOS>,flat blade screwdriver := screwdriver ^ E have flat blade . ( T ) <EOS>,a flat blade screwdriver is a screwdriver that have a flat blade.,flat blade screwdriver EquivalentTo screwdriver and some have flat blade
flat/JJ blade/NN screwdriver/NN are/VBP also/RB screwdriver/NN that/DT have/VB a/DT flat/JJ blade/NN ./. <EOS>/<EOS>,flat blade screwdriver := screwdriver ^ E have flat blade . ( T ) <EOS>,flat blade screwdriver are also screwdriver that have a flat blade.,flat blade screwdriver EquivalentTo screwdriver and some have flat blade
flat/JJ blade/NN screwdriver/NN are/VBP a/DT type/NN of/IN screwdriver/NN that/DT have/VB a/DT flat/JJ blade/NN ./. <EOS>/<EOS>,flat blade screwdriver := screwdriver ^ E have flat blade . ( T ) <EOS>,flat blade screwdriver are a type of screwdriver that have a flat blade.,flat blade screwdriver EquivalentTo screwdriver and some have flat blade
all/DT cross/NN blade/NN screwdriver/NN are/VBP also/RB screwdriver/NN that/DT have/VB cross/NN blade/NN ./. <EOS>/<EOS>,cross blade screwdriver := screwdriver ^ E have cross blade . ( T ) <EOS>,all cross blade screwdriver are also screwdriver that have cross blade.,cross blade screwdriver EquivalentTo screwdriver and some have cross blade
cross/NN blade/NN screwdriver/NN are/VBP a/DT type/NN of/IN screwdriver/NN that/DT have/VB cross/NN blade/NN ./. <EOS>/<EOS>,cross blade screwdriver := screwdriver ^ E have cross blade . ( T ) <EOS>,cross blade screwdriver are a type of screwdriver that have cross blade.,cross blade screwdriver EquivalentTo screwdriver and some have cross blade
every/DT cross/NN blade/NN screwdriver/NN is/VBZ also/RB a/DT screwdriver/NN that/DT have/VB a/DT cross/NN blade/NN ./. <EOS>/<EOS>,cross blade screwdriver := screwdriver ^ E have cross blade . ( T ) <EOS>,every cross blade screwdriver is also a screwdriver that have a cross blade.,cross blade screwdriver EquivalentTo screwdriver and some have cross blade
a/DT power/NN screwdriver/NN is/VBZ also/RB a/DT screwdriver/NN that/WDT is/VBZ powered/VBD by/IN electric/JJ energy/NN ./. <EOS>/<EOS>,power screwdriver := screwdriver ^ E powered by . ( electric energy ) <EOS>,a power screwdriver is also a screwdriver that is powered by electric energy.,power screwdriver EquivalentTo screwdriver and some powered by electric energy
every/DT power/NN screwdriver/NN is/VBZ a/DT screwdriver/NN that/WDT is/VBZ powered/VBD by/IN electric/JJ energy/NN ./. <EOS>/<EOS>,power screwdriver := screwdriver ^ E powered by . ( electric energy ) <EOS>,every power screwdriver is a screwdriver that is powered by electric energy.,power screwdriver EquivalentTo screwdriver and some powered by electric energy
a/DT power/NN screwdriver/NN is/VBZ also/RB a/DT screwdriver/NN that/WDT is/VBZ powered/VBD by/IN the/DT electric/JJ energy/NN ./. <EOS>/<EOS>,power screwdriver := screwdriver ^ E powered by . ( electric energy ) <EOS>,a power screwdriver is also a screwdriver that is powered by the electric energy.,power screwdriver EquivalentTo screwdriver and some powered by electric energy
all/DT power/NN screwdriver/NN are/VBP also/RB screwdriver/NN that/WDT are/VBP powered/VBD by/IN the/DT electric/JJ energy/NN ./. <EOS>/<EOS>,power screwdriver := screwdriver ^ E powered by . ( electric energy ) <EOS>,all power screwdriver are also screwdriver that are powered by the electric energy.,power screwdriver EquivalentTo screwdriver and some powered by electric energy
all/DT gardern/NN fork/NN are/VBP tool/NN ./. <EOS>/<EOS>,gardern fork := tool <EOS>,all gardern fork are tool.,gardern fork EquivalentTo tool
all/DT drill/NN are/VBP power/NN tool/NN ./. <EOS>/<EOS>,drill := power tool <EOS>,all drill are power tool.,drill EquivalentTo power tool
all/DT power/NN tool/NN are/VBP tool/NN ./. <EOS>/<EOS>,power tool := tool <EOS>,all power tool are tool.,power tool EquivalentTo tool
all/DT rake/NN are/VBP also/RB tool/NN ./. <EOS>/<EOS>,rake := tool <EOS>,all rake are also tool.,rake EquivalentTo tool
every/DT saw/NN is/VBZ a/DT tool/NN ./. <EOS>/<EOS>,saw := tool <EOS>,every saw is a tool.,saw EquivalentTo tool
all/DT hand/NN tool/NN are/VBP also/RB tool/NN ./. <EOS>/<EOS>,hand tool := tool <EOS>,all hand tool are also tool.,hand tool EquivalentTo tool
clamp/NN are/VBP also/RB tool/NN ./. <EOS>/<EOS>,clamp := tool <EOS>,clamp are also tool.,clamp EquivalentTo tool
every/DT clamp/NN is/VBZ a/DT tool/NN that/WDT can/MD secure/VB object/NN ./. <EOS>/<EOS>,clamp := tool ^ >= NUM secure . ( object ) <EOS>,every clamp is a tool that can secure object.,clamp EquivalentTo tool and NUM secure object
a/DT saw/NN is/VBZ a/DT tool/NN that/DT have/VB a/DT sharp/JJ blade/NN ./. <EOS>/<EOS>,saw := tool ^ E have sharp blade . ( T ) <EOS>,a saw is a tool that have a sharp blade.,saw EquivalentTo tool and some have sharp blade
saw/NN can/MD cut/VB wood/NN ./. <EOS>/<EOS>,saw := >= NUM cut . ( wood ) <EOS>,saw can cut wood.,saw EquivalentTo NUM cut wood
scissor/NN are/VBP manual/JJ tool/NN that/DT cut/VB paper/NN or/CC cardboard/NN ./. <EOS>/<EOS>,scissor := manual tool ^ E cut . ( paper U cardboard ) <EOS>,scissor are manual tool that cut paper or cardboard.,scissor EquivalentTo manual tool and some cut paper or cardboard
chainsaw/NN are/VB a/DT type/NN of/IN saw/NN that/DT are/VBP powered/VDB by/IN electric/JJ energy/NN ./. <EOS>/<EOS>,chainsaw := saw ^ E powered by . ( electric energy ) <EOS>,chainsaw are a type of saw that are powered by electric energy.,chainsaw EquivalentTo saw and some powered by electric energy
the/DT handle/NN is/VBZ part/NN of/IN the/DT knife/NN ./. <EOS>/<EOS>,handle := E part of . ( knife ) <EOS>,the handle is part of the knife.,handle EquivalentTo some part of knife
a/DT grind/NN is/VBZ part/NN of/IN the/DT blade/NN ./. <EOS>/<EOS>,grind := E part of . ( blade ) <EOS>,a grind is part of the blade.,grind EquivalentTo some part of blade
knife/NN have/VB a/DT blade/NN ./. <EOS>/<EOS>,knife := E have blade . ( T ) <EOS>,knife have a blade.,knife EquivalentTo some have blade
a/DT rake/NN is/VBZ a/DT tool/NN that/WDT collect/VB dead/JJ leaf/NN ./. <EOS>/<EOS>,rake := tool ^ E collect . ( dead leaf ) <EOS>,a rake is a tool that collect dead leaf.,rake EquivalentTo tool and some collect dead leaf
rake/NN are/VB tool/NN that/WDT collect/VB dead/JJ leaf/NN ./. <EOS>/<EOS>,rake := tool ^ E collect . ( dead leaf ) <EOS>,rake are tool that collect dead leaf.,rake EquivalentTo tool and some collect dead leaf
rake/NN are/VB used/VBD in/IN farming/VBG activity/NN ./. <EOS>/<EOS>,rake := E used in . ( farming activity ) <EOS>,rake are used in farming activity.,rake EquivalentTo some used in farming activity
the/DT pole/NN is/VBZ part/NN of/IN the/DT rake/NN ./. <EOS>/<EOS>,pole := E part of . ( rake ) <EOS>,the pole is part of the rake.,pole EquivalentTo some part of rake
thoot/NN are/VBP part/NN of/IN the/DT rake/NN ./. <EOS>/<EOS>,thoot := E part of . ( rake ) <EOS>,thoot are part of the rake.,thoot EquivalentTo some part of rake
chainsaw/NN are/VBP used/VBD only/RB by/IN expert/JJ operator/NN ./. <EOS>/<EOS>,chainsaw := A used by . ( expert operator ) <EOS>,chainsaw are used only by expert operator.,chainsaw EquivalentTo some used by expert operator
ray/NN rake/NN are/VBP tool/NN that/WDT are/VBP used/VBD only/RB by/IN expert/JJ farmer/NN ./. <EOS>/<EOS>,ray rake := tool ^ A used by . ( expert farmer ) <EOS>,ray rake are tool that are used only by expert farmer.,ray rake EquivalentTo tool and some used by expert farmer
